ITEM: TIMESTEP
26000
ITEM: NUMBER OF ATOMS
2835
ITEM: BOX BOUNDS pp pp pp
-3.0039611703393021e+00 7.8003961170339295e+01
-3.0039611703393021e+00 7.8003961170339295e+01
-3.0039611703393021e+00 7.8003961170339295e+01
ITEM: ATOMS id type x y z q
280 1 64.8014 3.90553 22.7367 0.171844
1172 1 65.6433 -2.01092 23.7683 0.0874895
279 2 64.7496 3.18748 23.561 -0.31082
265 1 69.8112 3.69024 23.3799 0.160606
307 3 67.9259 2.64191 23.7143 -0.264862
1168 1 67.2319 -0.433454 22.5899 0.103871
268 1 70.348 3.77508 20.7827 0.0865122
1166 2 67.1999 -0.49185 23.6669 -0.151722
314 3 -2.2255 3.84625 17.8712 -0.0888123
149 1 19.7852 6.67606 17.3825 0.0705469
146 1 22.0145 8.98478 16.9616 0.153335
144 2 20.9538 8.74651 17.2278 -0.239457
147 2 20.8143 7.1657 17.3052 -0.0955827
40 1 20.6925 9.21234 18.1701 0.109376
148 1 21.5319 6.65288 17.9279 0.0826601
191 3 24.9285 9.93601 20.8475 -0.131104
1128 1 27.4211 8.67378 18.5426 0.0791787
175 1 27.6414 9.73416 20.9139 0.154767
1126 2 28.0751 9.45055 18.1019 -0.114114
1127 1 29.0175 8.97233 17.9678 0.0610039
176 1 29.3368 9.69389 20.5412 0.0836214
174 2 28.4535 10.3439 20.4795 -0.231368
167 2 40.098 5.52954 23.2932 -0.0905561
164 2 40.6121 4.13455 23.8505 -0.163688
169 1 39.4526 5.31292 22.4585 0.057817
171 1 41.1106 7.47834 22.6766 0.0840278
170 2 41.3454 6.41508 22.8962 -0.235143
173 1 41.9041 6.06483 21.9966 0.123773
166 1 41.4671 3.82591 23.2694 0.13217
203 3 43.8786 4.65099 23.415 -0.201884
172 1 42.0383 6.44558 23.7566 0.149962
2150 1 51.0772 7.53274 17.8235 0.120095
2148 2 50.8445 7.75954 18.866 -0.309897
2151 1 50.9444 8.76836 19.2159 0.180851
2149 1 51.0833 7.00325 19.5878 0.208624
210 3 50.7547 8.00903 21.7172 -0.146087
209 3 51.7503 7.58642 22.3354 -0.125124
306 3 55.093 4.26747 21.908 -0.202612
909 2 55.4189 4.20628 20.6345 0.0264407
912 1 55.7307 4.9992 20.0728 0.083645
309 3 61.1773 5.01293 21.8461 -0.102766
308 3 60.5937 4.25125 22.6634 -0.098571
262 2 69.816 4.61339 22.8174 -0.237398
264 1 68.7106 4.84944 22.7273 0.122871
263 1 70.2195 5.27479 23.5549 0.0999289
270 1 69.0265 6.19703 20.4837 0.0603708
271 1 70.651 7.88076 20.0733 0.0977441
272 2 70.9238 6.89586 20.3554 -0.157894
269 2 70.0647 5.92355 20.7059 -0.028232
266 2 70.5751 4.619 21.4226 -0.098945
267 1 71.6651 4.69021 21.6308 0.0723407
274 1 72.0023 6.6851 20.3674 0.0920052
1029 1 2.47789 12.1366 20.2275 0.0858879
1022 1 0.28417 12.1822 21.8293 0.0578628
1030 1 1.62563 13.6203 19.7382 0.0954144
1027 2 2.39073 13.2045 20.4123 -0.208046
44 1 -2.00469 16.5409 18.2034 0.0743934
87 3 2.91149 17.3634 20.4601 -0.1578
46 1 -0.560797 15.6817 20.832 0.125108
257 1 0.0578965 15.3067 19.2863 0.0771753
45 2 -0.885994 15.5042 19.7985 -0.111621
42 2 -1.63972 16.7652 19.2091 -0.114766
86 3 2.43833 16.1958 20.6609 -0.174281
1023 1 -0.0629517 13.8958 21.647 0.0514511
1021 2 0.571041 13.1679 22.189 -0.0858416
1024 2 2.09775 13.4291 21.9414 -0.130971
81 1 2.32899 14.4382 22.2238 0.115444
48 2 -1.82869 14.237 19.7399 -0.197488
49 1 -1.38177 13.3744 20.2329 0.0523358
969 1 3.39589 15.7822 23.2041 0.0778018
51 1 -2.07092 13.9314 18.7087 0.0776827
50 1 -2.76764 14.3721 20.2395 0.0922529
43 1 -2.51438 17.0928 19.7601 0.131845
1025 1 2.76079 12.7591 22.5375 0.123505
73 2 0.305712 13.26 23.7467 -0.13173
70 1 -1.8897 13.2972 23.519 0.114892
74 1 0.290564 14.2855 24.1 0.0940161
71 1 -1.2704 11.6442 23.7318 0.139044
967 2 4.27773 16.1515 23.6839 -0.0250875
1490 1 5.70614 14.7269 22.7874 0.111541
1028 1 3.35586 13.6825 20.1987 0.124058
1278 2 5.50112 15.2158 23.7344 -0.244851
1491 1 6.43387 15.753 23.9656 0.089577
192 3 25.1528 11.0795 21.3472 -0.116551
179 1 27.1931 11.2226 18.9373 0.109447
180 1 28.8598 11.4848 18.6075 0.0590734
178 2 28.1283 10.7494 18.9851 -0.102977
177 1 28.6324 11.2121 21.1308 0.118854
250 1 0.390094 17.5914 18.767 0.111407
39 2 -0.538875 17.9214 19.2096 -0.129899
41 1 -0.258656 18.2756 20.2051 0.167196
36 1 -1.32682 18.8505 17.3617 0.15752
35 2 -1.25165 19.0635 18.4163 -0.260637
38 1 -0.760893 20.0122 18.5017 0.121473
37 1 -2.2773 19.2121 18.8181 0.147312
100 3 -2.0135 17.9157 21.7957 -0.155756
101 3 -1.21908 17.5722 22.7264 -0.130798
29 1 4.05553 18.2532 22.188 0.159026
33 1 3.49232 19.9812 24.0474 0.0962633
975 1 5.70722 18.239 22.6983 0.0790992
973 2 4.69939 18.3724 23.045 -0.131802
31 2 4.51204 19.7848 23.6514 -0.201507
32 1 4.67654 20.5227 22.8498 0.0896476
196 3 28.1053 23.6937 21.3206 -0.119795
195 3 28.6848 22.5884 21.5345 -0.139983
134 1 28.9337 21.2924 18.8785 0.106895
138 1 28.3518 23.8 18.4965 0.166
1078 2 29.5643 21.9562 18.3075 -0.0956032
131 1 30.3698 23.198 20.03 0.146318
1075 2 30.7093 22.572 19.2044 -0.127826
136 2 28.7236 23.1425 17.6825 -0.241819
1080 1 29.9914 21.4055 17.5009 0.0542516
1072 2 31.6309 21.4367 19.837 -0.105091
1074 1 31.087 21.0015 20.6783 0.104279
1073 1 31.8252 20.6417 19.1141 0.0674306
1392 1 31.2918 23.2422 18.5697 0.0579309
1383 2 32.9364 22.1437 20.3492 -0.202973
1281 1 33.6633 21.3955 20.7555 0.0852896
1280 1 32.7234 22.8389 21.1589 0.1009
1384 1 33.4624 22.6407 19.5113 0.0806508
247 1 51.5686 20.2037 18.2287 0.187406
251 1 53.0894 18.0874 18.3998 0.134561
197 3 50.2782 17.784 18.7259 -0.12527
198 3 50.6364 18.7205 19.4992 -0.135737
245 2 52.5774 20.1884 17.8215 -0.256691
248 1 53.185 20.7342 18.5326 0.119742
249 2 53.1616 18.7197 17.5008 -0.0801465
145 1 54.2299 18.8284 17.299 0.0598266
300 3 54.8057 21.514 23.4186 -0.115503
779 1 29.5871 29.4254 18.6878 0.0381747
474 1 40.3406 26.5557 21.3556 0.144291
475 1 42.1138 26.8861 21.7347 0.183452
472 2 41.2466 27.0171 21.0727 -0.299828
473 1 41.1714 27.9551 20.519 0.128268
584 2 49.4149 30.0784 19.7275 -0.147723
592 1 48.6091 28.9901 17.3998 0.119312
593 1 50.3252 28.5903 17.5746 0.124775
590 2 49.3217 28.3471 17.9399 -0.254499
591 1 49.0749 27.322 17.6923 0.156919
